Source_Page,Table_Number,0,1,2,3,4,5,6,7,8,9,10
160,5,"Chisamba 
enhance 
management 
and productive 
use of water 
resources",Water harvesting,,Rehabilitate 7 dams,"Lifwambula, Mutenga, Chikonkoto, 
Mupamapamo, Mponge, Mutambwa, 
Kaputi",,,,,,
160,5,,,,Drill 6 exploratory boreholes in 6 wards,"Liteta, Chisamba, Chamuka, 
Mulungushi, Muswishi, Mutenga",,,,,,
160,5,"Chisamba will 
enhance digital 
capacity","ICT Infrastructure 
Development",,"All 12 wards to have complete network 
coverage from one or more service 
providers",All 12 wards,2,3,2,3,2,"Network 
service 
provider, 
District 
Administratio
n, National 
Assembly, 
Council"
160,5,Objective 2: To enhance citizen participation in the economy by 2033,,,,,,,,,,
160,5,"Chisamba will promote 
local participation in the 
economy",,"Women, 
Youth 
and PWD 
Empower
ment","100 local businesses with loans under 
CDF",All 12 wards,20,20,20,20,20,"Council, 
WDCs, 
CDFC, 
Financial 
institution 
(ZANACO)"
161,6,,,"Empower 350 women, youth and 
community  groups with grants under 
CDF",All wards,70,70,70,70,70,"Council, 
Selected 
members of 
the technical 
committee, 
WDCs, CDFC",
161,6,,,100% tenders to be awarded to locals,All wards,100%,100%,100%,100%,100%,"Council, 
CDFC, WDCs",
161,6,"Chisamba will promote 
enterprise development","Business 
Develop
ment 
Services 
Provision","Train 100 loan beneficiaries with financial 
management knowledge",All wards,20,20,20,20,20,"Council, 
WDCs, 
CDFC, 
Financial 
institution 
(ZANACO)",
161,6,"Chisamba will promote 
financial inclusion","Rural 
Financial 
Access 
Enhance
d","Lobby once every year for the 
construction of banks at the CDB",CBD,1,1,1,1,1,"District 
Administratio
n, National 
Assembly, 
Council",
161,6,"Chisamba will promote 
quality and productivity 
in all sectors","Decent 
work",Conduct 100 labour inspections,All wards,20,20,20,20,20,MLSS,
161,6,,,"Ensure that 100% of the establishments 
are compliant to minimum wage 
legislation",All wards,84%,88%,92%,96%,100%,MLSS,
161,6,,,"Ensure that 100% of the  establishments 
are with attested employment contracts",All wards,90%,92%,94%,96%,100%,MLSS,
161,6,,,"Ensure that 100% of the establishments  
have approved collective agreements",All wards,100%,100%,100%,100%,100%,MLSS,
161,6,,,"Ensure that 100% of the establishments 
have Trade Union Legislation",All wards,100%,100%,100%,100%,100%,MLSS,
161,6,,,Conduct 100 OSH Inspections,All wards,20,20,20,20,20,MLSS,
161,6,,,"Ensure that 100% of the factories 
compliant to Occupational Safety and 
Health Hygiene",All wards,84%,88%,92%,96%,100%,MLSS,
161,6,HUMAN AND SOCIAL DEVELOPMENT,,,,,,,,,,
161,6,"OBJECTIVE: Enhanced access to quality, equitable and inclusive education to 100% by 2034",,,,,,,,,,
161,6,,,,,TARGET YEARS,,,,,,
161,6,Strategies,"Program
mes",Sub Program,Location,YR 1,YR 2,YR 3,YR 4,YR 5,Responsible,
162,7,"Enhance access to 
quality, equitable and 
inclusive education","Infrastruc
ture 
develop
ment","Construction of 12 (1X3 CRBs) across all 
the 12 wards",All wards,0,4,4,4,4,"DEB OFFICE/ 
council",
162,7,,,"Constructing and equipping 5 science 
laboratories in the 5 zones","1. Chisamba Sec 
2. Kabanga 
3. Kampekete 
4. Chowa 
5. Mupelekese",0,0,1,2,2,"MOE/ DEB 
OFFICE/ 
COUNCIL/ 
DEPT OF 
INFRASTRUCT
URE",
162,7,,,"Constructing 5 ICT laboratories and 
equipping them","1. Chisamba Sec 
2. Kabanga 
3. Kampekete 
4. Chowa 
5. Mupelekese",0,0,1,2,2,"MOE/ DEB 
OFFICE/ 
COUNCIL/ 
DEPT OF 
INFRASTRUCT
URE",
162,7,,,"Constructing 24 Staff houses  in all the 10 
zones by 2033","1. Bombwe 
2. Mupelekese 
3. Kabanga 
4. Kampekete 
5. Mututu 
6. Momboshi 
7. Chowa 
8. Liteta 
9. Chipembi 
10. Chisamba Sec",,,,,,"COUNCIL/ 
MOE/ 
PARTNERS",
162,7,,,"Procure 5500 desks for all schools in the 
district",All government schools,5500,,,,,"Council/ DEB 
OFFICE",
162,7,,,"Upgrade 2 primary schools to secondary 
schools","Mupelekese and Mututu upgraded to 
Secondary schools",,,1,1,,"COUNCIL/ 
MOE/ 
PARTNERS",
162,7,,,"Upgrade 4 community schools to 
primary schools","4 community schools upgraded  into 
primary schools (Miyanda, Kalonga,  
Miswa,  and Luyando)",0,1,1,1,1,"COUNCIL/ 
MOE/ 
PARTNERS",
162,7,,,"Construction of one (01) District 
Resource center with an Examination 
Strong Rooms",Current DEB Office,,1,,,,DEB OFFICE,
163,8,,,"Construction of 5 units for learners with 
Special Education Needs within existing 
schools in 5 zones","(Momboshi, Chisamba, Kabanga, 
Mupelekese and Liteta zones)",,,1,2,2,DEB OFFICE,
163,8,,,"Construction of 45  ablution blocks in the 
10 zones",All zones,3,10,10,10,12,"COUNCIL/ 
MWDS/ 
PARTNERS",
163,8,,"Human 
Resource 
Develop
ment","Lobby for the deployment of more 
secondary School teachers",All government Schools,1,1,1,1,1,MOE,
163,8,,,"Lobby for the deployment of more 
primary School teachers",All government Schools,1,1,1,1,1,MOE,
163,8,,"Adult 
Literacy","Enrolment of 200 Learners in the YALE 
centres",All Yale Centres,,50,50,50,50,MOE,
163,8,,"Curriculu
m 
Review","Capacity to develop 500 locally made 
materials increased",All school,100,100,100,100,100,DEB OFFICE,
163,8,,"Menstrua
l Hygiene 
Manage
ment   
(MHM)","Support 3000 girls with menstrual hygiene 
materials",All School implementing (MHM),,750,750,750,750,MOE/MOH,
163,8,"Improve Technical, 
Vocational and 
entrepreneurship","Technica
l 
Educatio
n 
Vocation
al and 
Entrepre
neurship 
Training","Award bursaries to 1750 youths to pursue 
skills courses",All wards,350,350,350,350,350,council,
163,8,"Enhance science, 
technology and 
innovation","Partnersh
ip 
promotio
n","40 teachers to attend expert training in 
Science and technology",All Secondary Schools,8,8,8,8,8,MOE,
163,8,,"Digital 
skills 
develop
ment","Construct 1 centre of Excellence- 
Primary School",Chisamba Primary School,1,,,,,ZICTA/MOE,
164,9,,"Digital 
skills 
develop
ment","Construct 1 centre of Excellence- 
secondary School",Chisamba Boarding Technical,,1,,,,ZICTA/MOE,
164,9,"DEVELOPMENT OUTCOME 2: IMPROVED HEALTH, FOOD AND NUTRITION",,,,,,,,,,
164,9,OBJECTIVE: To Strength Public Health to 100% by 2034,,,,TARGET YEARS,,,,,,
164,9,Strategies,"Program
mes",Sub Program,Location,YR 1,YR 2,YR 3,YR 4,YR 5,Responsible,
164,9,"The district will Strength 
Public Health","a) 
Disease 
preventio
n and 
control","Lobby/Mobilization of transport from 
other line ministries",All wards,1,1,1,1,1,"DHO/ 
council",
164,9,,,Establishing community radio station,1. Chisamba,0,1,,,,"MIC/COUNCI
L",
164,9,,,"Source from MOH/ partners for IEC 
materials",1. All the 12 wards /HFs,1,1,1,1,1,"MOH/PARTN
ERS/COUNCI
L",
164,9,,,Provide adequate diagnostic services,1. All the 12 wards /HFs,1,1,1,1,1,DHO/ MOH,
164,9,,,Clinical mentorship,1. All 26 HFs,1,1,1,1,1y,"DHO/MOH/P
ARTNJERS",
164,9,,"c) 
Maternal 
healthca
re","2.0 construction of 10 mother’s waiting 
shelters in 10 health posts","1.Kasosolo HP 2. Mupamopamo HP 3. 
Bombwe HP 4.mwantaya HP 
5.Kachele HP 6. Kaputi HP 7. Makeni 8. 
Chisamba Ranch 9. Nalufwi HP 10. 
Chowa Mphanga",2,2,2,2,2,"DHO/COUN
CIL",
164,9,,,"2.1.1 Purchase 24 reliable motorbikes for 
12 facilities ( 2 in each Facility)","1.chisamba RHC 2..Chipembi RHC 3. 
Malombe 4. Momboshi RHC 5.Muswishi  
6. Kanakantapa 7. kawama 8. 
Kasosolo 9. Mulungushi Agro 10. 
Bombwe 11. Lifwambula 12. Mwapula",6,6,6,6,,"DHO/COUN
CIL",
164,9,,,"2.1.2 Conduct 60 community 
sensitization meetings on Myths and 
misconceptions",All wards,12,12,12,12,12,"DHO/COUN
CIL",
165,10,,,"construction of 10 mother’s waiting 
shelters in 10 health posts","1. Kasosolo HP 2. Mupamopamo HP 3. 
Bombwe HP 4.mwantaya HP 
5.Kachele HP 6. Kaputi HP 7. Makeni 8. 
Chisamba Ranch 9. Nalufwi HP 10. 
Chowa Mphanga",2,2,2,2,2,"DHO/COUN
CIL",
165,10,,,"2.2.1 MOH to create 16 more positions 
for midwives and other health workers",All Health facilities,4,3,3,3,3,MOH,
165,10,,,"2.2.2. Build 1 maternity annex in all the 24 
health facilities","1. Liteta Hospital 2.chipembi 
3.Malombe 4.. Momboshi 5. Muswishi 
6.kanakantapa 7.Mulungushi Agro 8. 
Kasosolo 9. Lifwambula 10.  Kasosolo 
11.kawama 12.mwantaya 13. Kaputi, 
14. Luano 15. Chisamba Ranch 16. 
Kachele. 17. Makeni 18. 
Mupamapamo 19. Kaminembe 
20.Charles milundu 21. Nalufwi 22. 
Chowa Mphanga 23. Chisamba rhc24. 
Chikonkomene.",2,5,5,5,7,COUNCIL,
165,10,,,"2.3.0 Actualize domiciliary visits (by 
community)",All Health facilities,1,1,1,1,1,DHO/MOH,
165,10,,,"2.3.1 Standardise incentives for 
community-based volunteers",In all the wards,,,,,,MOF,
165,10,,"d) Child 
survival 
develop
ment","Orient 1 staff per facility in New Rota 
vaccines (the vaccines are now 
available) in all facilities",In all health facilities,20,21,22,23,24,"DHO/MOH/P
ATRNJERS",
165,10,,,Purchase of 7 utility vehicles,1. DHO (4) 2. Liteta hospital (3),,2,2,2,1,"DHO/COUN
CIL",
165,10,,,"construction of 10 mother’s waiting 
shelters in 10 health posts","1. Kasosolo HP 2. Mupamopamo HP 3. 
Bombwe HP 4.mwantaya HP 
5.Kachele HP 6. Kaputi HP 7. Makeni 8. 
Chisamba Ranch 9. Nalufwi HP 10. 
Chowa Mphanga",2,2,2,2,2,"DHO/COUN
CIL",
165,10,,,Procure 24  weighing scales,"1. Chisamba RHC 2.chipembi 
3.Malombe 4.. Momboshi 5. Muswishi 
6.kanakantapa 7.Mulungushi Agro 8.",4,5,5,5,5,"DHO/PARTNE
RS",
166,11,,,,"Kasosolo 9. Lifwambula 10.  Kasosolo 
11.kawama 12.mwantaya 13. Kaputi, 
14. Luano 15. Chisamba Ranch 16. 
Kachele . 17.Makeni 18. 
Mupamapamo 19. Kaminembe 
20.Charles milundu 21. Nalufwi 22. 
Chowa Mphanga 23. Liteta Hospital 
24. Chikonkomene.",,,,,,,
166,11,,,Ensure food security at household level,All Wards,"Annu
ally","Annual
ly","Annu
ally","Annu
ally","Ann
ually","District 
Admin/Coun
cil",
166,11,,,Promote cooking demonstrations.,All Wards,"Annu
ally","Annual
ly","Annu
ally","Annu
ally","Ann
ually","DHO/DEBO/P
ARTNERS/ 
AGRIC",
166,11,,,"Revamp back yard gardens in health 
facilities and schools by conducting 
meetings with stakeholders",In all health facilities and schools,"Annu
ally","Annual
ly","Annu
ally","Annu
ally","Ann
ually","DHO/ 
AGRIC/ 
PARTNERS",
166,11,,,Standardise stipends for CBVs,in all the wards,,1,,,,MOF,
166,11,,"f) 
Epidemic 
prepared
ness and 
control","Assemble and orient the staff in two 
facilities",1. Mupamopamo HP 2. Makeni HP,1,1,,,,"DHO/PARTNE
RS",
166,11,,,Orient staff in FETP in two facilities,1. Mupamopamo HP 2. Makeni HP,1,1,,,,"DHO/PARTNE
RS",
166,11,,"h) Health 
security 
and 
surveillan
ce","Lobby for improvement of network by 
service providers through the office of 
the area MP (minister)",1. Mwapula 2. mwantaya 3.kasosolo,,,,,,"COUNCIL/DIS
TRICT ADMIN",
167,12,"The District will increase 
access to quality Health 
Care by 2032","a) 
Infrastruc
ture 
develop
ment 
 s","construction of 5 health facilities to meet 
the target coverage(5km radius)","1.Nalufwi 2. Chowa Mphanga 3. 
monangombe 4. Kamano 5. 
Kaminembe",1,1,1,1,1,"COUNCIL/DH
O",
167,12,,,"construction of 30 staff housing units; 
(minimum of 3 to 5 per facilities)","1. M/Agro 2. kasosolo 3. Mwantaya 4. 
bombwe 5. makeni  6.Kaputi 7. Chowa 
Mphanga 8. Luano 9 . Nalufwi 10. 
Kaminembe",5,5,5,7,8,council/MOH,
167,12,,,"Construction of 1 maternity annex in all 
24 Health facilities","1.Liteta Hospital  2.chipembi 
3.Malombe 4.. Momboshi 5. Muswishi 
6.kanakantapa 7.Mulungushi Agro 8. 
Kasosolo 9. Lifwambula 10.  Kasosolo 
11.kawama 12.mwantaya 13. Kaputi, 
14. Luano 15. Chisamba Ranch 16. 
Kachele . 17.Makeni 18. 
Mupamapamo 19. Kaminembe 
20.Charles milundu 21. Nalufwi 22. 
Chowa Mphanga 23. Chisamba rhc24. 
Chikonkomene .",2,5,5,5,7,council/MOH,
167,12,,,"Upgrade 2 Health posts to Health 
Center(HC)",1. Momboshi 2. kasosolo,,,1,1,,"COUNCIL/M
OH",
167,12,,,upgrading of the 3 HCs to mini hospitals,"1. Chisamba RHC 2. Chikonkomene 
3.Malombe",,1,1,1,,"COUNCIL/ 
MOH",
167,12,,,"upgrading of chisamba RHC  to 1st level 
Hospital",1. Chisamba RHC,,,"1 st 
level 
hospit
al",,,"COUNCIL/M
OH",
167,12,,,"upgrading of Liteta Hospital  to 2nd level 
Hospital","Liteta Hospital 
1.",,,,,"2nd 
Leve
l 
Hosp
ital",,
168,13,,,"Construct 1 incinerator per facility 
(25HFs)","1.Liteta Hospital 2.Chisamba RHC 3. 
Malombe RHC 4.Chipembi RHC 
5.Mwapula 6.Momboshi 7. Muswishi 
RHC 8.Chikonkomene 9.M/Agro RHC 
10. Kasosolo HP 11.Lifwambula 
12.kanakantapa 13. Bombwe 14. 
Mwantaya 15. Kaputi 16. Luano 17. 
Kaminembe 18. Chisamba Ranch 19. 
Kachele 20. Kawama 21. Makeni 22. 
Mupamapamo 23. Nalufwi 24. Chowa 
25. HAHC",1,5,5,6,7,Council,
168,13,,"b) 
Medicine
s and 
medical 
supply 
chain 
manage
ment","procure all essential medicines and 
medical supplies",All 24 HFs,"Annu
ally","Annual
ly","Annu
ally","Annu
ally","Ann
ually",ZAMSA/DHO,
168,13,,"c) 
Equipme
nt and 
transport 
procure
ment 
and 
mainten
ance","Procure adequate equipment to meet 
the demand in all 25 health facilities",All 24 HFs,"Ann
ually","Annua
lly","Annu
ally","Annu
ally","Ann
ually",MOH,
168,13,,,"Procure 3  zonal  Basic Ambulances ( 
upgraded cruiser)  and 2 Advanced 
ambulances","1. liteta Hospital 2. Chipembi 
3.chikonkomene","1 
Basic 
Amb
ulan
ce ( 
upgr
aded 
cruis
er)","2 basic 
Ambul
ance ( 
upgra
ded 
cruiser)","2 
Adva
nced 
ambu
lance",,,COUNCIL,
168,13,"The District will enhance 
food and nutrition","a) Scale-
up 
nutrition","Procurement of IEC materials on 
Maternal Infant and Young Child 
Nutrition",All 25 Hfs,"Annu
ally","Annual
ly","Annu
ally","Annu
ally","Ann
ually","DHO/PARTNE
RS",
169,14,,"f) 
Research 
and 
develop
ment",Source finances to conduct research,All 25 Hfs,25,25,25,25,25,"DHO/PARTNE
RS",
169,14,"The District will 
Strengthen integrated 
health information 
systems","b) Health 
informati
on 
manage
ment 
system 
integratio
n","District Registration office to digitise 
database for birth registration",DR Office,1,,,,,"DR 
Office/Coun
cil",
169,14,,,Provide more data collection tools,1. liteta Hospital,"Annu
ally","Annual
ly","Annu
ally","Annu
ally","Ann
ually","MOH/PATRN
ERS",
169,14,,,"Provide 4 computers for smartcare plus 
and Legacy","1. Liteta Hospital (2)  2. Malombe RHC 
(1)  3. Chipembi RHC (1)",,2,2,,,"MOH/PATRN
ERS",
169,14,"DEVELOPMENT OUTCOME 4: REDUCED POVERTY, VULNERABILITY AND INEQUALITIES",,,,,,,,,,
169,14,"OBJECTIVE: to 100% by 
2033",,,,TARGET YEARS,,,,,,
169,14,Strategies,"Program
mes",Sub Program,Location,YR 1,YR 2,YR 3,YR 4,YR 5,Responsible,
169,14,"The District will Reduce 
vulnerability associated 
with HIV and AIDS","a) HIV 
testing 
and 
treatmen
t",Provision of HIV test kits,In all Health Facilities,"Annu
ally","Annual
ly","Annu
ally","Annu
ally","ann
ually","MOH/PARTN
ERS/COUNCI
L",
169,14,,,"Train more psychosocial counsellors (1 
training per year)",In all Health Facilities,1,1,1,1,1,"MOH/PARTN
ERS",
169,14,,,"Maintain 100%  of health facilities 
provision of  adequate and secure 
counselling space",In all Health Facilities,100%,100%,100%,100%,"###
#",DHO/MOH,
169,14,,,"Intensify health promotion messages 
regarding condom use (Conduct 12 
sensitisation meetings per year)",In all 12 wards,12,12,12,12,12,"DHO/COUN
CIL/PARTNER
S",
169,14,,,"Enhance adherence services to PLHIV 
through SBCC (Conduct 12 sensitisation 
meetings per year)",In all Health Facilities,12,12,12,12,12 s,"DHO/PARTNE
RS",
170,15,,,"Construction of 25 Adolescent friendly 
health spaces in all the facilities",In all Health Facilities,1,6,6,6,6,"COUNCIL/PA
RTNERS",
170,15,,"b) 
Stigma 
and 
discrimin
ation 
reductio
n","Hold Community sensitisation meetings 
in 12 wards on the importance of testing 
for HIV",All 12 Wards,12,12,12,12,"12 
sensi
tisati
on 
mee
tings","DHO/COUN
CIL/PARTNER
S",
170,15,,"c) HIV 
and AIDS 
financing","funding increment by central/local 
government",DHO,"Annu
ally","Annual
ly","Annu
ally","Annu
ally","ann
ually","Central 
Government
/COUNCIL",
170,15,,,"Provide adequate transport for HIV/AIDS 
program activities",1.All HFs 2. DHO,"Annu
ally","Annual
ly","Annu
ally","Annu
ally","ann
ually","MOH/PARTN
ERS/COUNCI
L",
170,15,,,"To encourage partners to engage 
district during pre-planning level for 
HIV/AIDS budgets",DHO,"Annu
ally","Annual
ly","Annu
ally","Annu
ally","ann
ually",MOH/PHO,
170,15,"Objective: To reduce poverty, vulnerability and inequalities by 2033",,,,,,,,,,
170,15,Strategies,"Program
mes",Sub Program,Location,YR 1,YR 2,YR 3,YR 4,YR 5,Responsible,
170,15,"Chisamba will improve 
coordination of social 
protection programs","Women 
empowe
rment","Increase the number of women 
participating in the comprehensive 
package of activities under the Support 
Women's Livelihood from 1330 to 3000",All wards,1330,1748,2165,2582,3000,"Community 
developmen
t/ Social 
welfare",
170,15,,"Livelihoo
d and 
empowe
rment 
decentra
lisation","Number of women trained in Life and 
Business Skills and other entrepreneurship 
training programmes increased from 
1483 to 3000",All wards,1483,1863,2242,2621,3000,"Community 
developmen
t, Social 
welfare, 
Council, 
C/Partners",
170,15,,,"Increase the number of women 
accessing micro credit (Village Bank) 
support from 1065 to 1863",All wards,1065,1265,1464,1663,1863,"Community 
developmen
t, Social 
welfare, 
Council, 
C/Partners",
171,16,,,"Provide in kind support to 200 vulnerable 
individuals",All wards,5,55,105,155,200,"Community 
developmen
t, Social 
welfare, 
Council, 
C/Partners",
171,16,,"Public 
Welfare 
Assistanc
e 
Scheme","Empower 4000 women under the Public 
Welfare Assistance Scheme program",All wards,1000,1500,2000,3000,4000,"Community 
developmen
t, Social 
welfare, 
C/Partners",
171,16,,"Disability 
services","Ensuring that all 12 WDCs have 
representation for people with disabilities",All wards,12,12,12,12,12,"Council, 
WDCs",
171,16,,,"Ensuring that all public building 
infrastructure accommodates people 
with special needs",All wards,100%,100%,100%,100%,100%,"Council, 
Department
ment of 
Infrastructure",
