Source_Page,Table_Number,0,1,2,3,4,5,6,7,8,9,10
204,3,,"c)Enhanced 
farmer 
support","Provision of Farmer Input 
Support to farmers under 
the FISP to 16415","Input support under FISP 
provided to 16415 farmers","300,000  MOA",,,,,,
204,3,,"e) 
Agribusiness 
development","Conduct 30 sensitization 
meetings on agricultural 
marketing system","30 sensitization meetings 
on agricultural marketing 
systems conducted","75,000  MOA",,,,,,
204,3,,,"Conduct 5 sensitization 
meetings to promote  
Animal Identification 
registration-Brand Mark","5 sensitization meetings to 
promote  Animal 
Identification registration-
Brand Mark conducted","15,000  MFL",,,,,,
205,4,,,"Training of 1506 Livestock 
farmers in livestock 
farming as a business","1506 Livestock farmers 
trained  in livestock 
farming as a business","12,000  MFL",,,,,,
205,4,,,"Training of 20 individual 
fish farmers and 4 
cooperatives in fish 
farming as a business","20 individual fish farmers 
and 4 cooperatives 
trained in fish farming as a 
business","3,000  MFL",,,,,,
205,4,,,"Establishment of 3 value 
chains while 
strengthening existing 
ones",3 value chains established,"315,000  MOA/ MFL",,,,,,
205,4,,,"Establishment of one 
Agro processing plant","1 agro processing plant 
established","300,000,0
00  MOA",,,,,,
205,4,,,"Increase access to 
credit facilities","2000 farmers have access 
to credit facilities through 
sensitization","75,000  MOA",,,,,,
205,4,,"f) Irrigation 
development",Construction of 3 dams,3 dams constructed,"42,000,00","0  MOA, MWDS",,,,,
205,4,,,Construction of 10 weirs,10 weirs constructed,,"200,000  MOA, C/PARTNERS",,,,,
205,4,,"g) Fisheries 
and 
aquaculture 
development","Enhance the 
participation of youth 
groups in aquaculture 
by linking 3 groups per 
year to CDF grants","3 aquaculture youth 
groups linked to CDF per 
year",,500  MFL/ COUNCIL,,,,,
205,4,,,"Conduct 2 assessments 
of Fishery areas for 
breeding","2 assessments of fishery 
areas for breeding 
conducted","10,000  MFL",,,,,,
206,5,,"i) Livestock 
development","To enhance Animal 
disease prevention and 
control by vaccinating 
at least 50,000 cattle 
against FMD yearly","5000 cattle vaccinated 
against FMD per year","400,000  MFL",,,,,,
206,5,,,"To enhance Animal 
disease prevention and 
control by vaccinating 
at least 2000 calves 
against ECF yearly","2000 calves vaccinated 
against ECF yearly","250,000  MFL",,,,,,
206,5,,,"Conduct 5 sensitization 
meetings to promote  
Animal Identification 
registration-Brand Mark","5 sensitization meetings to 
promote  Animal 
Identification registration-
Brand Mark conducted","15,000  MFL",,,,,,
206,5,,"j) Extension 
services 
support","Increase the number of 
agricultural camps from 
the current 16 to 25 
(Create 9 more by 
subdividing the existing 
camps)","9 more agriculture camps 
created","20,000",MOA,,,,,
206,5,,,"Create 7 more 
Veterinary camps from 
the current 5 to 12 to 
align to administrative 
wards","7 more veterinary camps 
created","10,000  MFL/Council",,,,,,
206,5,,,"Increase the number of 
extension workers in the 
camps by employing 6 
agricultural extension","6 more agricultural 
extension officers 
employed","30,000  MOA",,,,,,
207,6,,,"staff in addition to the 
current 19",,,,,,,,
207,6,,,"Employ 18 more 
extension staff under 
fisheries and livestock","18 more extension officers 
employed (8 VAs & 10 
LAs)",,"4,000  MFL/Council",,,,,
207,6,,,"Procurement of 35 
motorbikes for 
agricultural and 
veterinary camp officers","35 motorbikes for 
agricultural and veterinary 
camp officers procured","4,550,000  MOA/ MFL",,,,,,
207,6,,,"Training of 5, 000 farmers 
in Climate Smart 
Agriculture","5, 000 farmers trained in 
Climate Smart Agriculture","500,000  MOA",,,,,,
207,6,,"k) Early 
warning and 
surveillance 
systems","Conduct 1 crop 
monitoring survey each 
year from November to 
May annually","1 annual crop monitoring 
survey conducted","1,000,000  MOA",,,,,,
207,6,"Chisamba 
shall 
promote 
Traditional 
and Non-
Traditional 
minerals","Mineral and 
petroleum 
Exploration 
and 
exploitation","Hold 2 investment 
attracting campaigns 
per year","2 investment attracting 
campaigns held per year","100,000","Ministry of Mines and 
Minerals 
Development/ MSME/ 
District Admin, Council",,,,,
207,6,,"Artisanal and 
small-scale 
mining 
development","Hold 6 sensitization 
campaigns per year to 
promote the creation of  
mining Cooperatives","6 sensitization campaigns 
held to promote the 
creation of mining 
cooperatives per year","75,000","Ministry of Mines and 
Minerals 
Development/ MSME/ 
District Admin, Council",,,,,
208,7,,"Proportion of 
Cooperatives 
linked to 
mining value 
chains","Link all (100%) mining 
cooperatives to mining 
value chains","100% mining cooperatives 
linked to mining value 
chains","40,000","Ministry of Mines and 
Minerals 
Development/ MSME/ 
District Admin, Council",,,,,
208,7,"Chisamba 
will 
promote 
value 
addition 
and 
manufactur
ing","Capacity 
building","Conduct training of 4800 
farmers yearly on post-
harvest handling losses 
/crop quality 
improvement","4800 farmers trained 
yearly on post-harvest 
handling losses /crop 
quality improvement","250,000  MOA",,,,,,
208,7,,,"Training of 1000 farmers 
in packaging","1000 farmers trained in 
packaging","100,000  MCTI, MOA MFL",,,,,,
208,7,,,"Training of 1,000 farmers 
in processing","1000 farmers trained in 
processing",,"100,000  MCTI, MOA, MFL/MSME",,,,,
208,7,,"Market 
linkages","Enhancement of 10 
market linkages for  
Cooperatives","10 market linkages for 
cooperatives enhanced",,"75,000  MCTI, MOA MFL/ MSME",,,,,
208,7,,,"Linking 15 livestock 
cooperatives to market","15 livestock cooperatives 
linked to markets","4,000  MFL/ MSME",,,,,,
208,7,,,"Linking four fish 
cooperatives to markets","4 fish cooperatives linked 
to markets","2,000  MFL/ MSME",,,,,,
208,7,"Chisamba 
shall 
promote 
tourism 
growth","Tourism 
related 
infrastructure 
developed, 
rehabilitated 
and 
maintained","1 heritage site in 
chikonkomene 
(Kalwelwe Hills) 
developed",1 heritage site developed,"300,000","Ministry of tourism and 
arts",,,,,
209,8,,,"Develop 1 private lodge 
at the New CBD","1 private lodge at the 
New CBD developed","10,000,00
0","Ministry of tourism and 
arts/ Private investor",,,,,
209,8,,,"Construct 2  new 
Cultural Villages at the 
new CBD","2  new Cultural Villages 
constructed at the new 
CBD","300,000","Ministry of tourism and 
arts",,,,,
209,8,"Chisamba 
will 
enhance 
generation, 
transmissio
n and 
distribution 
of 
electricity","Green and 
renewable 
plants set up",Establish 3 solar plants,3 solar plants established,"300,000,0
00",ZESCO/Partners,,,,,
209,8,"Chisamba 
enhance 
managem
ent and 
productive 
use of 
water 
resources","Water 
harvesting",Rehabilitate 7 dams,7 dams rehabilitated,"12,600,00
0","MWDS/MFL/MOA/COU
NCIL",,,,,
209,8,,,"Drill 6 exploratory 
boreholes in 6 wards","6 exploratory boreholes 
drilled","195,000  MWDS",,,,,,
209,8,"Chisamba 
will 
enhance 
digital 
capacity","ICT 
Infrastructure 
Development","All 12 wards to have 
complete network 
coverage from one or 
more service providers","12 wards to have 
complete network 
coverage","60,000","Network service 
provider, District 
Administration, 
National Assembly, 
Council",,,,,
210,9,Objective 2: To enhance citizen participation in the economy by 2033,,,,,,,,,,
210,9,"Chisamba 
will 
promote 
local 
participatio
n in the 
economy","Women, 
Youth and 
PWD 
Empowermen
t","100 local businesses with 
loans under CDF","100 local businesses 
empowered with CDF 
loans","5,800,000","Council, WDCs, CDFC, 
Financial institution 
(ZANACO)",,,,,
210,9,,,"Empower 350 women, 
youth and community  
groups with grants under 
CDF","350 women, youth and 
community  groups 
empowered with grants 
under CDF","5,800,000","Council, Selected 
members of the 
technical committee, 
WDCs, CDFC",,,,,
210,9,,,"100% tenders to be 
awarded to locals","100% tenders awarded to 
locals",,"250,000  Council, CDFC, WDCs",,,,,
210,9,"Chisamba 
will 
promote 
enterprise 
developme
nt","Business 
Development 
Services 
Provision","Train 100 loan 
beneficiaries with 
financial management 
knowledge","100 loan beneficiaries 
trained in financial 
management","25,000","Council, WDCs, CDFC, 
Financial institution 
(ZANACO)",,,,,
210,9,"Chisamba 
will 
promote 
financial 
inclusion","Rural 
Financial 
Access 
Enhanced","Lobby once every year 
for the construction of 
banks at the CDB","1 or more Banks 
constructed at the CBD","5,000","District Administration, 
National Assembly, 
Council",,,,,
210,9,"Chisamba 
will 
promote 
quality and 
productivity 
in all 
sectors",Decent work,"Conduct 100 labour 
inspections","100 labour inspections 
conducted","25,000  MLSS",,,,,,
210,9,,,"Ensure that 100% of the 
establishments are 
compliant to minimum 
wage legislation","100% of the 
establishments  compliant 
to minimum wage 
legislation","25,000  MLSS",,,,,,
211,10,,,,"Ensure that 100% of the  
establishments are with 
attested employment 
contracts",,"100% of the  
establishments attested 
with employment 
contracts",,"25,000  MLSS",,,
211,10,,,,"Ensure that 100% of the 
establishments  have 
approved collective 
agreements",,"100% of the 
establishments  with 
approved collective 
agreements",,"25,000  MLSS",,,
211,10,,,,"Ensure that 100% of the 
establishments have 
Trade Union Legislation",,"100% of the 
establishments with Trade 
Union Legislation",,"25,000  MLSS",,,
211,10,,,,"Conduct 100 OSH 
Inspections",,"100 OSH inspections 
conducted",,"25,000  MLSS",,,
211,10,,,,"Ensure that 100% of the 
factories compliant to 
Occupational Safety 
and Health Hygiene",,"100% of the factories 
compliant to 
Occupational Safety and 
Health Hygiene",,"25,000  MLSS",,,
211,10,"OBJECTIVE: Enhance access to quality, equitable and inclusive education to 100% by 2034",,,,,,,,,,
211,10,Strategies,,Programmes,,Sub Program,Output,"TOTAL 
COST",PROPOSED SOURCE OF FUNDS,,,
211,10,"The District 
will enhance 
access to 
quality,",,"Infrastructur
e 
developme
nt",,"Construction of 12 (1X3 
CRBs) across all the 12 
wards","12 (1X3 
CRBs) 
constructed","23,608,660",DEB OFFICE/ council,,,
212,11,"equitable 
and inclusive 
education",,"Constructing and 
equipping 5 science 
laboratories in the 5 
zones","5 science 
labs 
constructed","9,500,000","MOE/ DEB OFFICE/ COUNCIL/ DEPT 
OF INFRASTRUCTURE",,,,,
212,11,,,"Constructing 5 ICT 
laboratories and 
equipping them","5 ICT labs 
constructed","3,750,000","MOE/ DEB OFFICE/ COUNCIL/ DEPT 
OF INFRASTRUCTURE",,,,,
212,11,,,"Constructing 24 Staff 
houses  in all the 10 
zones by 2033","24 teachers 
houses 
constructed","12,000,000",COUNCIL/ MOE/ PARTNERS,,,,,
212,11,,,"Procure 5500 desks for 
all schools in the district","5500 desks 
procured","3,850,000",Council/ DEB OFFICE,,,,,
212,11,,,"Upgrade 2 primary 
schools to secondary 
schools","2 Primary 
schools 
upgraded to 
secondary 
level","3,000,000",COUNCIL/ MOE/ PARTNERS,,,,,
212,11,,,"Upgrade 4 community 
schools to primary 
schools","4 community 
schools 
upgraded to 
primary level","6,000,000",COUNCIL/ MOE/ PARTNERS,,,,,
212,11,,,"Construction of one (01) 
District Resource centre 
with an Examination 
Strong Room","1 District 
Resource 
centre with 
an 
Examination","2,000,000",DEB OFFICE,,,,,
213,12,,,,"Strong Room 
constructed",,,,,,,
213,12,,,"Construction of 5 units 
for learners with Special 
Education Needs within 
existing schools in 5 
zones","5 units for 
learners with 
Special 
Education 
Needs within 
existing 
schools 
established","4,250,000",DEB OFFICE,,,,,
213,12,,,"Construction of 45  
ablution blocks in the 10 
zones","45 ablution 
blocks 
constructed","18,000,000",COUNCIL/ MWDS/ PARTNERS,,,,,
213,12,,"Human 
Resource 
Developme
nt","Lobby for the 
deployment of more 
secondary School 
teachers","Ministry of 
education 
engaged 
once a year","15,000",MOE,,,,,
213,12,,,"Lobby for the 
deployment of more 
primary School teachers","Ministry of 
education 
engaged 
once a year","15,000",MOE,,,,,
213,12,,,"Lobby for the 
deployment of more 
ECE School teachers","Ministry of 
education 
engaged 
once a year","15,000",MOE,,,,,
213,12,,"Adult 
Literacy","Enrolment of 200 
Learners in the YALE 
centres","200 learners 
enrolled in 
YALE centres","15,000",MOE,,,,,
214,13,,"Curriculum 
Review","Capacity to develop 
500 locally made 
materials increased","500 locally 
made 
curriculum 
materials 
developed","25,000",DEB OFFICE,,,,,
214,13,,"Menstrual 
Hygiene 
Manageme
nt   (MHM)","Support 3000 girls with 
menstrual hygiene 
materials","3000 girls 
supported 
with 
menstrual 
hygiene 
materials","60,000",MOE/MOH,,,,,
214,13,"Improve 
Technical, 
Vocational 
and 
entrepreneur
ship","Technical 
Education 
Vocational 
and 
Entrepreneu
rship 
Training","Award bursaries to 1750 
youths to pursue skills 
courses","1750 youths 
awarded 
with skills 
bursaries","5,000,000","C
OUNCIL",,,,,
214,13,"Enhance 
science, 
technology 
and 
innovation","Partnership 
promotion","40 teachers to attend 
expert training in 
Science and 
technology","40 teachers 
trained in 
expert 
science and 
technology","200,000",MOE,,,,,
214,13,,"Digital skills 
developme
nt","Construct 1 centre of 
Excellence- Primary 
School","1 primary 
school 
centre of 
excellence 
constructed","1,900,000",ZICTA/MOE,,,,,
215,14,,,"Digital skills 
developme
nt",,"Construct 1 centre of 
Excellence- secondary 
School",,"1 secondary 
school 
centre of 
excellence 
constructed",,"1,900,000",,ZICTA/MOE
215,14,"DEVELOPMENT OUTCOME 2: IMPROVED HEALTH, FOOD AND NUTRITION",,,,,,,,,,
215,14,OBJECTIVE: To Strength Public Health to 100% by 2034,,,,,,,,,,
215,14,Strategies,"Programme
s",,Sub Program,,Output,,TOTAL COST,,PROPOSED SOURCE OF FUNDS,
215,14,"The district 
will Strength 
Public 
Health","a) Disease 
prevention 
and control",,"Lobby/Mobilizatio
n of transport from 
other line ministries",,"Transportati
on 
mobilised 
(New 
diagnosis 
for common 
Non 
Communic
able 
Diseases 
(NCDs) 
reduced)",,"13,000",,DHO/ council,
215,14,,,,"Consider 
establishing 
community radio 
station",,"Community 
Radio 
established 
(New 
diagnosis 
for common 
Non 
Communic",,"1,000,000",,MIC/COUNCIL,
216,15,,,,"able 
Diseases 
(NCDs) 
reduced)",,,,,,,
216,15,,,"Source from 
MOH/ partners for 
IEC materials on 
NCDs","IEC Material 
sourced 
annually 
(New 
diagnosis 
for common 
Non 
Communic
able 
Diseases 
(NCDs) 
reduced","15,000",MOH/PARTNERS/COUNCIL,,,,,
216,15,,,"Provide adequate 
diagnostic 
services","Services 
offered 
annually(Ne
w diagnosis 
for common 
Non 
Communic
able 
Diseases 
(NCDs) 
reduced)","500,000",DHO/ MOH,,,,,
217,16,,,"Clinical 
mentorship","Mentorships 
held 
annually 
(New 
diagnosis 
for common 
Non 
Communic
able 
Diseases 
(NCDs) 
reduced)","140,000",DHO/MOH/PARTNJERS,,,,,
217,16,,"c) Maternal 
healthcare","Construct 15 
shelters in 
outreach posts in 
all the wards (3 for 
each location)","15 shelters in 
outreach 
posts 
constructed","1,500,000",DHO/COUNCIL,,,,,
217,16,,,"Purchase 24 
reliable 
motorbikes for 6 
facilities (24)","24 
motorbikes 
purchased","2,160,000",DHO/COUNCIL,,,,,
217,16,,,"Conduct 60 
community 
sensitization 
meetings on 
Myths and 
misconceptions","60 
community 
sensitization 
meetings on 
Myths and 
misconcepti
ons 
conducted","780,000",DHO/COUNCIL,,,,,
218,17,,,"construction of 5 
mother’s waiting 
shelters in 5 
facilities","5 mothers 
waiting 
shelters 
constructed","1,500,000",DHO/COUNCIL,,,,,
218,17,,,"MOH to create 16 
more positions for 
midwives and 
other health 
workers","16 midwives 
positions  or 
other health 
workers 
position 
created 
through 
Human 
resource 
Dept( 
allowances)",0,MOH/MoFNP,,,,,
218,17,,,"Build maternity 
annexes in all the 
24 health facilities 
as per Presidential 
directive","24 maternity 
annexes 
constructed","38,400,000",COUNCIL,,,,,
218,17,,,"Actualize 
domiciliary visits 
(by community)","Access to 
early 
postnatal 
Services 
improved.(6
0%)","3,000,000",DHO/MOH,,,,,
218,17,,,"Standardise 
incentives for","Access to 
early 
postnatal",0,MOF,,,,,
219,18,,,"community-based 
volunteers","Services 
improved.(6
0%)",,,,,,,
219,18,,"d) Child 
survival 
developme
nt","Orient 1 staff per 
facility in New 
Rota vaccines 
(the vaccines are 
now available)","Each facility 
to have 1 
staff 
oriented in 
new rota 
vaccines","200,0000",DHO/MOH/PATRNJERS,,,,,
219,18,,,"Lobby for the 
purchase of 7 
utility vehicles","7 utility 
vehicles 
purchased 
or sourced","11,200,000",DHO/COUNCIL,,,,,
219,18,,,"Construct 15 
shelters in 
outreach posts in 
all the wards (3 for 
each location)","15 shelters in 
outreach 
posts 
constructed",,DHO/COUNCIL,,,,,
219,18,,,"Procure 10 
weighing scales","10 weighing 
scales 
procured","50,000",DHO/PARTNERS,,,,,
219,18,,,"Ensure food 
security at 
household level","Food 
security in 
all wards",0,District Admin/Council,,,,,
219,18,,,"Promote cooking 
demonstrations.","4 cooking 
demonstrati
ons per HF  
held in a 
year","1,000,000",DHO/DEBO/PARTNERS/ AGRIC,,,,,
220,19,,,"Revamp back 
yard gardens in 
health facilities 
and schools by 
conducting 
meetings with 
stakeholders","20 
stakeholder 
meetings 
held","260,000",DHO/ AGRIC/ PARTNERS,,,,,
220,19,,"e) Family 
planning","ZAMMSA to 
improve the 
supply of 
commodities to 
100%","kit 
delivered 
for each HF  
monthly for 
5 years",0,ZAMMSA/MOH,,,,,
220,19,,,"Standardise 
stipends for CBVs","Stipends for 
CBVs 
standardise
d",0,MOF,,,,,
220,19,,"f) Epidemic 
preparedn
ess and 
control","Assemble EPPC Kit 
and orient the 
staff in two 
facilities","25/25 
Facilities 
with 
functional 
Epidemic 
Preparedne
ss and 
response 
system 
established 
and 
functional","30,000",DHO/PARTNERS,,,,,
221,20,,,"Orient staff in FETP 
in two facilities","2 FETP 
oriented","14,000",DHO/PARTNERS,,,,,
221,20,,"h) Health 
security 
and 
surveillance","Lobby for 
improvement of 
network by 
service providers 
through the office 
of the area MP 
(minister)","25/25 HF 
submitting 
Facility 
Weekly IDSR 
Reports  
through 
tower been 
erected",0,COUNCIL/DISTRICT ADMIN,,,,,
221,20,"The District 
will 
increase 
access to 
quality 
Health Care 
by 2034","a) 
Infrastructur
e 
developme
nt 
  
  
 s","construction of 5 
health facilities to 
meet the target 
coverage(5km 
radius)","5 HFs 
constructed 
meeting 5 
km radius","20,000,000",COUNCIL,,,,,
221,20,,,"construction of 30 
staff housing units; 
(minimum of 3 to 5 
per facilities)","30 staff 
housing 
units  
constructed","24,000,000",COUNCIL,,,,,
221,20,,,"Upgrade 2 Health 
posts to Health 
Center(HC)","2 HP 
upgraded 
to HC","600,000",COUNCIL,,,,,
221,20,,,"upgrading of the 
3 HCs to mini 
hospitals","3 mini 
hospitals 
established","9,000,000",COUNCIL/MOH,,,,,
222,21,,,"upgrading of 
Health Center to 
Level 1   hospital","1 1st level 
Hospital 
established","6,000,000",COUNCIL,,,,,
222,21,,,"upgrading of one  
hospital to 2nd 
level Hospital","1 2nd level 
Hospital 
established","8,000,000",COUNCIL,,,,,
222,21,,,"Construct 1 
incinerator per 
facility (25HFs)","25 
incinerators 
constructed","3,000,000",COUNCIL,,,,,
222,21,,"b) 
Medicines 
and 
medical 
supply 
chain 
managem
ent","procure all 
essential 
medicines and 
medical supplies","kit for 24 HFs 
procured 
monthly",0,ZAMMSA/MOH,,,,,
222,21,,"c) 
Equipment 
and 
transport 
procureme
nt and 
maintenan
ce","Procure 
adequate 
equipment to 
meet the demand 
in all 25 health 
facilities","Medical 
equipment 
procured in 
all 25 HF","25,000,000",DHO/PARTNERS/COUNCIL,,,,,
222,21,,,"Procure 3  zonal  
Basic Ambulances 
(1 upgraded 
cruiser  and 2","1. liteta 
Hospital 2. 
Chipembi","7,700,000",COUNCIL,,,,,
223,22,,,"Advanced 
ambulances)","3.chikonko
mene",,,,,,,
223,22,"The District 
will 
enhance 
food and 
nutrition","a) Scale-up 
nutrition","a) Scale-up 
nutrition","Procuremen
t of IEC 
materials on 
Maternal 
Infant and 
Young Child 
Nutrition","144,000",MOH/DHO,,,,,
223,22,,"f) Research 
and 
developme
nt","f) Research and 
development","Source 
finances to 
conduct 
research","3,000,000",DHO/PARTNERS/COUNCIL,,,,,
223,22,"The District 
will 
Strengthen 
integrated 
health 
information 
systems","b) Health 
information 
managem
ent system 
integration","District 
Registration office 
to digitise 
database for birth 
registration","1 Digitized 
database 
created  for 
birth 
registration","250,000",DR Office/Council,,,,,
223,22,,,"Provide more 
data collection 
tools","Data 
collection 
tools 
established 
and 
provided","250,000",MOH/PARTNERS,,,,,
223,22,,,"Provide 4 
computers for","4 
computers 
procured","1,400,000",MOH/PARTNERS,,,,,
224,23,,,"smartcare plus 
and Legacy","for 
smartcare 
plus and 
legacy",,,,,,,
225,24,"OBJECTIVE: TO REDUCE POVERTY, VULNERABILITY AND INEQUALITIES TO 100% BY 2034",,,,,,,,,,
225,24,"Objective: To reduce poverty, vulnerability and inequalities by 2034",,,,,,,,,,
225,24,Strategies,Programmes,Sub Program,Output,TOTAL COST,"PROPOSED SOURCE OF 
FUNDS",,,,,
225,24,"Chisamba will 
improve 
coordination of 
social 
protection 
programs","Women 
Empowerme
nt","Increase the number of 
women participating in 
the comprehensive 
package of activities 
under the Support 
Women's Livelihood 
from 1330 to 3000","3000 women 
participating in 
the 
comprehensive 
package of 
activities under 
the Support 
Women's 
Livelihood","11,000,000","Community 
development/ Social 
welfare",,,,,
225,24,,"Livelihood 
and 
empowerm
ent 
decentralisa
tion","Number of women 
trained in Life and 
Business Skills and other 
entrepreneurship 
training programmes 
increased from 1483 to 
3000","3000 women 
trained in Life 
and Business 
Skills and other 
entrepreneursh
ip training 
programmes","1,605,000","Community 
development, Social 
welfare, Council, 
C/Partners",,,,,
225,24,,,"Increase the number of 
women accessing 
micro credit (Village 
Bank) support from 
1065 to 1863","1863 women 
accessing 
village banking","6,900,500","Community 
development, Social 
welfare, Council, 
C/Partners",,,,,
225,24,,,"Provide in kind support 
to 200 vulnerable 
individuals","200 vulnerable 
individuals","90,000","Community 
development, Social",,,,,
226,25,,,,"provided with 
in kind support",,"welfare, Council, 
C/Partners",,,,,
226,25,,"Public 
Welfare 
Assistance 
Scheme","Empower 4000 women 
under the Public 
Welfare Assistance 
Scheme program","4000 women 
empowered 
under PWAS","40,000","Community 
development, Social 
welfare, C/Partners",,,,,
226,25,,"Disability 
services","Ensuring that all 12 
WDCs have 
representation for 
people with disabilities","People with 
special needs 
represented on 
all 12 WDCs",,"5,000  Council, WDCs",,,,,
226,25,,,"Ensuring that 100% of 
the new building 
infrastructure 
accommodates 
people with special 
needs","100% new 
buildings to 
accommodate 
people with 
special needs",,"10,000  Council, WDCs",,,,,
226,25,,,"Construction of 5 units 
for learners with Special 
Education Needs within 
existing schools in 5 
zones","5 units 
constructed for 
learners with 
special needs","32,00,000  MOE",,,,,,
226,25,,"Sports, 
culture and 
arts 
developme
nt","Support recreation 
activities in all the 12 
wards through 
provision of materials","12 wards 
supported with 
recreation 
activities","60,000","Council, Education, 
Health, C/Partners",,,,,
227,26,,"Food 
Security 
Pack (Rain-
fed)","Support 1600 farmer 
households annually  
with food security 
packs","1600 farmer 
households 
supported with 
FSP (Budget is 
for distribution 
and 
transportation)","1,250,000","Community 
development",,,,,
227,26,,"Food 
security 
support 
(Alternative 
Livelihoods)","1450 households 
supported with 
Alternative Livelihood 
Interventions such as 
fish farming, bee 
keeping etc","1451 
households 
supported with 
Alternative 
Livelihood 
Interventions 
such as fish 
farming, bee 
keeping etc","4,450,000","Fisheries & livestock, 
Community 
development, Social 
welfare, Council, 
C/Partners",,,,,
227,26,,,"450 vulnerable 
households supported 
with goats","450 vulnerable 
household 
supported with 
goats","1,180,000","Fisheries & livestock, 
Community 
development, Social 
welfare, Council, 
C/Partners",,,,,
227,26,,,"Support 1000 
vulnerable households 
with chickens","1000 
vulnerable 
households 
supported with 
chickens","455,000","Fisheries & livestock, 
Community 
development, Social 
welfare, Council, 
C/Partners",,,,,
227,26,,"Gender-
based","Sensitise all the 12 
wards on GBV","12 wards 
sensitised on 
GBV annually","120,000","Council, ZP, District 
gender committee",,,,,
228,27,,"violence 
elimination","Commemorate the 16 
days of gender 
activism every year","16 days of 
gender 
activism 
commemorate
d yearly","150,000","Council, ZP, District 
gender committee",,,,,
228,27,,,"Construction of 1 safe 
home for GBV victims","1 safe home for 
GBV victims 
constructed","1,000,000","Council, ZP, Community 
development, District 
gender committee",,,,,
228,27,,"Child 
protection","represent 100% of 
children that come in 
conflict with the law in 
courts by Juvenile 
Inspectors","100% juveniles 
who come in 
conflict with 
the law 
represented in 
court","25,000","Community 
development, ZP, 
Judiciary",,,,,
228,27,"Chisamba will 
reduce 
developmenta
l inequalities","Gender 
equality","Formulation of 1 district 
gender workplace 
policy","1 district 
gender policy 
in place","30,000","All government 
departments/ 
C/Partners",,,,,
228,27,,,"Conduct 1 sensitization 
meeting per ward per 
year on gender issues","1 sensitization 
meeting per 
ward 
conducted 
annually",,"120,000  Council, District gender 
committee",,,,,
228,27,,"Integrated 
Developme
nt Planning","Development of 1 
District IDP",1 IDP in place,"500,000",All IDP stakeholders,,,,,
228,27,,"Rural roads 
connectivity","645 Kms Main gravel 
roads graded and","645 kms of 
gravel roads","30,960,000","RDA, Council",,,,,
229,28,,,"upgraded In all the 12 
wards","graded and 
upgraded",,,,,,,
229,28,,,"Upgrade three main 
roads-96KMs (63 KMs, 
32 KMs and 101 KMs) to 
bituminous standard.","3 main roads 
(196 kms) 
upgrade to 
bituminous 
standards","4,312,000,000",RDA,,,,,
